0	0
100	-0.463958
200	-1.78939
300	-3.8793
400	-6.64027
500	-9.98246
600	-13.8196
700	-18.069
800	-22.6514
900	-27.4914
1000	-32.517
1100	-37.6597
1200	-42.8547
1300	-48.0407
1400	-53.16
1500	-58.1585
1600	-62.9856
1700	-67.5943
1800	-71.9412
1900	-75.9865
2000	-79.6939
2100	-83.0306
2200	-85.9676
2300	-88.4793
2400	-90.5437
2500	-92.1423
2600	-93.2604
2700	-93.8866
2800	-94.0133
2900	-93.6363
3000	-92.7551
3100	-91.3726
3200	-89.4955
3300	-87.1339
3400	-84.3015
3500	-81.0156
3600	-77.2971
3700	-73.1705
3800	-68.6637
3900	-63.8083
4000	-58.6395
4100	-53.1959
4200	-47.52
4300	-41.6575
4400	-35.658
4500	-29.5743
4600	-23.4631
4700	-17.3846
4800	-11.4024
4900	-5.58396
5000	0
5100	5.28875
5200	10.2743
5300	14.9621
5400	19.3576
5500	23.4662
5600	27.2935
5700	30.8448
5800	34.1257
5900	37.1416
6000	39.898
6100	42.4002
6200	44.6539
6300	46.6644
6400	48.4371
6500	49.9777
6600	51.2914
6700	52.3839
6800	53.2604
6900	53.9266
7000	54.3878
7100	54.6495
7200	54.7171
7300	54.5962
7400	54.2922
7500	53.8106
7600	53.1567
7700	52.3361
7800	51.3543
7900	50.2166
8000	48.9286
8100	47.4956
8200	45.9233
8300	44.2169
8400	42.382
8500	40.4241
8600	38.3486
8700	36.1609
8800	33.8665
8900	31.4709
9000	28.9796
9100	26.3979
9200	23.7314
9300	20.9855
9400	18.1657
9500	15.2774
9600	12.3261
9700	9.31727
9800	6.25633
9900	3.14875
10000	0
10020	-0.634213
10040	-1.26983
10060	-1.90681
10080	-2.54514
10100	-3.18478
10120	-3.82571
10140	-4.46789
10160	-5.1113
10180	-5.75592
10200	-6.4017
10220	-7.04863
10240	-7.69667
10260	-8.3458
10280	-8.99598
10300	-9.64719
10320	-10.2994
10340	-10.9526
10360	-11.6067
10380	-12.2618
10400	-12.9177
10420	-13.5745
10440	-14.2321
10460	-14.8905
10480	-15.5497
10500	-16.2096
10520	-16.8703
10540	-17.5316
10560	-18.1936
10580	-18.8562
10600	-19.5194
10620	-20.1832
10640	-20.8475
10660	-21.5123
10680	-22.1777
10700	-22.8435
10720	-23.5097
10740	-24.1763
10760	-24.8433
10780	-25.5106
10800	-26.1782
10820	-26.8462
10840	-27.5143
10860	-28.1828
10880	-28.8514
10900	-29.5202
10920	-30.1891
10940	-30.8581
10960	-31.5272
10980	-32.1964
11000	2.91661e-302
